Diet,Category,Scope12_kton
3. Metropolitan (High Risk),Soups,12918.031813338748
3. Metropolitan (High Risk),Beverages & Additions,12347.92994106
3. Metropolitan (High Risk),Fats (Butter),36833.46116055145
3. Metropolitan (High Risk),Oils (Plant-based),46194.749779499994
3. Metropolitan (High Risk),Condiments,10221.138326211747
4. Metabolic Balance,Red Meat,858574.8714867905
4. Metabolic Balance,Poultry,124269.11702809396
4. Metabolic Balance,Processed Meats,173556.68259574712
4. Metabolic Balance,Dairy (Milk & Milkproducts),41611.937301375
4. Metabolic Balance,Cheese & Eggs,148062.05434238925
4. Metabolic Balance,Fish,73344.73734673078
4. Metabolic Balance,Plant Protein,10998.7499475
4. Metabolic Balance,Staples,37594.08928061676
4. Metabolic Balance,Rice,6131.404277758528
4. Metabolic Balance,Veg & Fruit,84859.022094945
4. Metabolic Balance,Ultra-Processed,22717.423571973548
4. Metabolic Balance,Soups,25836.063626677496
4. Metabolic Balance,Beverages & Additions,7185.8499657
4. Metabolic Balance,Fats (Butter),48351.56393966432
4. Metabolic Balance,Oils (Plant-based),40420.4060570625
4. Metabolic Balance,Condiments,4938.4387264275
5. Dutch Goal (60:40),Red Meat,164468.99783194513
5. Dutch Goal (60:40),Poultry,27960.55133132114
5. Dutch Goal (60:40),Processed Meats,173556.68259574712
5. Dutch Goal (60:40),Dairy (Milk & Milkproducts),149802.97428495
5. Dutch Goal (60:40),Cheese & Eggs,61086.32748076817
5. Dutch Goal (60:40),Fish,22003.421204019236
5. Dutch Goal (60:40),Plant Protein,56496.912230325
5. Dutch Goal (60:40),Staples,183050.71978981548
5. Dutch Goal (60:40),Rice,24525.617111034113
5. Dutch Goal (60:40),Veg & Fruit,114571.77845311801
5. Dutch Goal (60:40),Ultra-Processed,88707.94547862274
5. Dutch Goal (60:40),Soups,21530.053022231245
5. Dutch Goal (60:40),Beverages & Additions,6679.9074681150005
5. Dutch Goal (60:40),Fats (Butter),9895.169603677936
5. Dutch Goal (60:40),Oils (Plant-based),25407.112378724996
5. Dutch Goal (60:40),Condiments,5318.995474611
6. Amsterdam Goal (70:30),Red Meat,78611.51068326607
6. Amsterdam Goal (70:30),Poultry,15533.639628511744
6. Amsterdam Goal (70:30),Processed Meats,115704.45506383141
6. Amsterdam Goal (70:30),Dairy (Milk & Milkproducts),83223.87460275
6. Amsterdam Goal (70:30),Cheese & Eggs,52752.47189174247
6. Amsterdam Goal (70:30),Fish,27504.27650502404
6. Amsterdam Goal (70:30),Plant Protein,63763.41969564
6. Amsterdam Goal (70:30),Staples,181178.28369856466
6. Amsterdam Goal (70:30),Rice,30657.021388792637
6. Amsterdam Goal (70:30),Veg & Fruit,121059.57442215002
6. Amsterdam Goal (70:30),Ultra-Processed,70603.96203746402
6. Amsterdam Goal (70:30),Soups,25836.063626677496
6. Amsterdam Goal (70:30),Beverages & Additions,5187.010475241
6. Amsterdam Goal (70:30),Fats (Butter),6898.627801162864
6. Amsterdam Goal (70:30),Oils (Plant-based),23097.374889749997
6. Amsterdam Goal (70:30),Condiments,4736.0617273934995
7. EAT-Lancet (Planetary),Red Meat,110056.11495657249
7. EAT-Lancet (Planetary),Poultry,45047.55492268407
7. EAT-Lancet (Planetary),Processed Meats,0.0
7. EAT-Lancet (Planetary),Dairy (Milk & Milkproducts),208059.68650687498
7. EAT-Lancet (Planetary),Cheese & Eggs,16828.109597554394
7. EAT-Lancet (Planetary),Fish,51341.316142711556
7. EAT-Lancet (Planetary),Plant Protein,40402.07480715
7. EAT-Lancet (Planetary),Staples,159331.81391278078
7. EAT-Lancet (Planetary),Rice,36788.425666551164
7. EAT-Lancet (Planetary),Veg & Fruit,137279.06434473002
7. EAT-Lancet (Planetary),Ultra-Processed,54027.19842252355
7. EAT-Lancet (Planetary),Soups,17224.042417784996
7. EAT-Lancet (Planetary),Beverages & Additions,3795.3019818840003
7. EAT-Lancet (Planetary),Fats (Butter),3215.281685107718
7. EAT-Lancet (Planetary),Oils (Plant-based),20787.637400775
7. EAT-Lancet (Planetary),Condiments,4153.127980175999
8. Schijf van 5 (Guideline),Red Meat,164468.99783194513
8. Schijf van 5 (Guideline),Poultry,38834.09907127936
8. Schijf van 5 (Guideline),Processed Meats,231408.91012766282
8. Schijf van 5 (Guideline),Dairy (Milk & Milkproducts),208059.68650687498
8. Schijf van 5 (Guideline),Cheese & Eggs,75892.53291500709
8. Schijf van 5 (Guideline),Fish,45840.460841706736
8. Schijf van 5 (Guideline),Plant Protein,31405.097350095
8. Schijf van 5 (Guideline),Staples,173871.4958368799
8. Schijf van 5 (Guideline),Rice,24525.617111034113
8. Schijf van 5 (Guideline),Veg & Fruit,121059.57442215002
8. Schijf van 5 (Guideline),Ultra-Processed,98943.62098517502
8. Schijf van 5 (Guideline),Soups,21530.053022231245
8. Schijf van 5 (Guideline),Beverages & Additions,6679.9074681150005
8. Schijf van 5 (Guideline),Fats (Butter),11268.778230758082
8. Schijf van 5 (Guideline),Oils (Plant-based),28871.7186121875
8. Schijf van 5 (Guideline),Condiments,5521.372473644999
9. Mediterranean Diet,Red Meat,212730.1346781817
9. Mediterranean Diet,Poultry,31067.27925702349
9. Mediterranean Diet,Processed Meats,115704.45506383141
9. Mediterranean Diet,Dairy (Milk & Milkproducts),166447.7492055
9. Mediterranean Diet,Cheese & Eggs,73303.5929769218
9. Mediterranean Diet,Fish,64176.645178389444
9. Mediterranean Diet,Plant Protein,34682.72483445
9. Mediterranean Diet,Staples,176039.0022165968
9. Mediterranean Diet,Rice,27591.31924991338
9. Mediterranean Diet,Veg & Fruit,141275.27682565502
9. Mediterranean Diet,Ultra-Processed,61974.63949540813
9. Mediterranean Diet,Soups,25836.063626677496
9. Mediterranean Diet,Beverages & Additions,9058.570456761
9. Mediterranean Diet,Fats (Butter),7585.432114702937
9. Mediterranean Diet,Oils (Plant-based),34646.06233462499
9. Mediterranean Diet,Condiments,4736.0617273934995
